Wrote: ave.slim
Wrote: fit.slim
Wrote: ext.slim
Wrote: inv.slim
Submitting job, psi=0.9, n=8, sz=40, rep=3, reg=ave.
Submitting job, psi=0.0, n=20, sz=40, rep=3, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=3, reg=ave.
Submitting job, psi=0.9, n=20, sz=40, rep=3, reg=ave.
Submitting job, psi=0.0, n=2, sz=60, rep=3, reg=ave.
Submitting job, psi=0.5, n=2, sz=60, rep=3, reg=ave.
Submitting job, psi=0.9, n=2, sz=60, rep=3, reg=ave.
Submitting job, psi=0.0, n=5, sz=60, rep=3, reg=ave.
Submitting job, psi=0.5, n=5, sz=60, rep=3, reg=ave.
Submitting job, psi=0.9, n=5, sz=60, rep=3, reg=ave.
Submitting job, psi=0.0, n=8, sz=60, rep=3, reg=ave.
Submitting job, psi=0.5, n=8, sz=60, rep=3, reg=ave.
Submitting job, psi=0.9, n=8, sz=60, rep=3, reg=ave.
Submitting job, psi=0.0, n=20, sz=60, rep=3, reg=ave.
Submitting job, psi=0.5, n=20, sz=60, rep=3, reg=ave.
Submitting job, psi=0.9, n=20, sz=60, rep=3, reg=ave.
Submitting job, psi=0.0, n=2, sz=20, rep=4, reg=ave.
Submitting job, psi=0.5, n=2, sz=20, rep=4, reg=ave.
Submitting job, psi=0.9, n=2, sz=20, rep=4, reg=ave.
Submitting job, psi=0.0, n=5, sz=20, rep=4, reg=ave.
Submitting job, psi=0.5, n=5, sz=20, rep=4, reg=ave.
Submitting job, psi=0.9, n=5, sz=20, rep=4, reg=ave.
Submitting job, psi=0.0, n=8, sz=20, rep=4, reg=ave.
Submitting job, psi=0.5, n=8, sz=20, rep=4, reg=ave.
Submitting job, psi=0.9, n=8, sz=20, rep=4, reg=ave.
Submitting job, psi=0.0, n=20, sz=20, rep=4, reg=ave.
Submitting job, psi=0.5, n=20, sz=20, rep=4, reg=ave.
Submitting job, psi=0.9, n=20, sz=20, rep=4, reg=ave.
Submitting job, psi=0.0, n=2, sz=40, rep=4, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=4, reg=ave.
Submitting job, psi=0.9, n=2, sz=40, rep=4, reg=ave.
Submitting job, psi=0.0, n=5, sz=40, rep=4, reg=ave.
Submitting job, psi=0.5, n=5, sz=40, rep=4, reg=ave.
Submitting job, psi=0.9, n=5, sz=40, rep=4, reg=ave.
Submitting job, psi=0.0, n=8, sz=40, rep=4, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=4, reg=ave.
Submitting job, psi=0.9, n=8, sz=40, rep=4, reg=ave.
Submitting job, psi=0.0, n=20, sz=40, rep=4, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=4, reg=ave.
Submitting job, psi=0.9, n=20, sz=40, rep=4, reg=ave.
Submitting job, psi=0.0, n=2, sz=60, rep=4, reg=ave.
Submitting job, psi=0.5, n=2, sz=60, rep=4, reg=ave.
Submitting job, psi=0.9, n=2, sz=60, rep=4, reg=ave.
Submitting job, psi=0.0, n=5, sz=60, rep=4, reg=ave.
Submitting job, psi=0.5, n=5, sz=60, rep=4, reg=ave.
Submitting job, psi=0.9, n=5, sz=60, rep=4, reg=ave.
Submitting job, psi=0.0, n=8, sz=60, rep=4, reg=ave.
Submitting job, psi=0.5, n=8, sz=60, rep=4, reg=ave.
Submitting job, psi=0.9, n=8, sz=60, rep=4, reg=ave.
Submitting job, psi=0.0, n=20, sz=60, rep=4, reg=ave.
Submitting job, psi=0.5, n=20, sz=60, rep=4, reg=ave.
Submitting job, psi=0.9, n=20, sz=60, rep=4, reg=ave.
Submitting job, psi=0.0, n=2, sz=20, rep=5, reg=ave.
Submitting job, psi=0.5, n=2, sz=20, rep=5, reg=ave.
Submitting job, psi=0.9, n=2, sz=20, rep=5, reg=ave.
Submitting job, psi=0.0, n=5, sz=20, rep=5, reg=ave.
Submitting job, psi=0.5, n=5, sz=20, rep=5, reg=ave.
Submitting job, psi=0.9, n=5, sz=20, rep=5, reg=ave.
Submitting job, psi=0.0, n=8, sz=20, rep=5, reg=ave.
Submitting job, psi=0.5, n=8, sz=20, rep=5, reg=ave.
Submitting job, psi=0.9, n=8, sz=20, rep=5, reg=ave.
Submitting job, psi=0.0, n=20, sz=20, rep=5, reg=ave.
Submitting job, psi=0.5, n=20, sz=20, rep=5, reg=ave.
Submitting job, psi=0.9, n=20, sz=20, rep=5, reg=ave.
Submitting job, psi=0.0, n=2, sz=40, rep=5, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=5, reg=ave.
Submitting job, psi=0.9, n=2, sz=40, rep=5, reg=ave.
Submitting job, psi=0.0, n=5, sz=40, rep=5, reg=ave.
Submitting job, psi=0.5, n=5, sz=40, rep=5, reg=ave.
Submitting job, psi=0.9, n=5, sz=40, rep=5, reg=ave.
Submitting job, psi=0.0, n=8, sz=40, rep=5, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=5, reg=ave.
Submitting job, psi=0.9, n=8, sz=40, rep=5, reg=ave.
Submitting job, psi=0.0, n=20, sz=40, rep=5, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=5, reg=ave.
Submitting job, psi=0.9, n=20, sz=40, rep=5, reg=ave.
Submitting job, psi=0.0, n=2, sz=60, rep=5, reg=ave.
Submitting job, psi=0.5, n=2, sz=60, rep=5, reg=ave.
Submitting job, psi=0.9, n=2, sz=60, rep=5, reg=ave.
Submitting job, psi=0.0, n=5, sz=60, rep=5, reg=ave.
Submitting job, psi=0.5, n=5, sz=60, rep=5, reg=ave.
Submitting job, psi=0.9, n=5, sz=60, rep=5, reg=ave.
Submitting job, psi=0.0, n=8, sz=60, rep=5, reg=ave.
Submitting job, psi=0.5, n=8, sz=60, rep=5, reg=ave.
Submitting job, psi=0.9, n=8, sz=60, rep=5, reg=ave.
Submitting job, psi=0.0, n=20, sz=60, rep=5, reg=ave.
Submitting job, psi=0.5, n=20, sz=60, rep=5, reg=ave.
Submitting job, psi=0.9, n=20, sz=60, rep=5, reg=ave.
Submitting job, psi=0.0, n=2, sz=20, rep=6, reg=ave.
Submitting job, psi=0.5, n=2, sz=20, rep=6, reg=ave.
Submitting job, psi=0.9, n=2, sz=20, rep=6, reg=ave.
Submitting job, psi=0.0, n=5, sz=20, rep=6, reg=ave.
Submitting job, psi=0.5, n=5, sz=20, rep=6, reg=ave.
Submitting job, psi=0.9, n=5, sz=20, rep=6, reg=ave.
Submitting job, psi=0.0, n=8, sz=20, rep=6, reg=ave.
Submitting job, psi=0.5, n=8, sz=20, rep=6, reg=ave.
Submitting job, psi=0.9, n=8, sz=20, rep=6, reg=ave.
Submitting job, psi=0.0, n=20, sz=20, rep=6, reg=ave.
Submitting job, psi=0.5, n=20, sz=20, rep=6, reg=ave.
Submitting job, psi=0.9, n=20, sz=20, rep=6, reg=ave.
Submitting job, psi=0.0, n=2, sz=40, rep=6, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=6, reg=ave.
Submitting job, psi=0.9, n=2, sz=40, rep=6, reg=ave.
Submitting job, psi=0.0, n=5, sz=40, rep=6, reg=ave.
Submitting job, psi=0.5, n=5, sz=40, rep=6, reg=ave.
Submitting job, psi=0.9, n=5, sz=40, rep=6, reg=ave.
Submitting job, psi=0.0, n=8, sz=40, rep=6, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=6, reg=ave.
Submitting job, psi=0.9, n=8, sz=40, rep=6, reg=ave.
Submitting job, psi=0.0, n=20, sz=40, rep=6, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=6, reg=ave.
Submitting job, psi=0.9, n=20, sz=40, rep=6, reg=ave.
Submitting job, psi=0.0, n=2, sz=60, rep=6, reg=ave.
Submitting job, psi=0.5, n=2, sz=60, rep=6, reg=ave.
Submitting job, psi=0.9, n=2, sz=60, rep=6, reg=ave.
Submitting job, psi=0.0, n=5, sz=60, rep=6, reg=ave.
Submitting job, psi=0.5, n=5, sz=60, rep=6, reg=ave.
Submitting job, psi=0.9, n=5, sz=60, rep=6, reg=ave.
Submitting job, psi=0.0, n=8, sz=60, rep=6, reg=ave.
Submitting job, psi=0.5, n=8, sz=60, rep=6, reg=ave.
Submitting job, psi=0.9, n=8, sz=60, rep=6, reg=ave.
Submitting job, psi=0.0, n=20, sz=60, rep=6, reg=ave.
Submitting job, psi=0.5, n=20, sz=60, rep=6, reg=ave.
Submitting job, psi=0.9, n=20, sz=60, rep=6, reg=ave.
Submitting job, psi=0.0, n=2, sz=20, rep=7, reg=ave.
Submitting job, psi=0.5, n=2, sz=20, rep=7, reg=ave.
Submitting job, psi=0.9, n=2, sz=20, rep=7, reg=ave.
Submitting job, psi=0.0, n=5, sz=20, rep=7, reg=ave.
Submitting job, psi=0.5, n=5, sz=20, rep=7, reg=ave.
Submitting job, psi=0.9, n=5, sz=20, rep=7, reg=ave.
Submitting job, psi=0.0, n=8, sz=20, rep=7, reg=ave.
Submitting job, psi=0.5, n=8, sz=20, rep=7, reg=ave.
Submitting job, psi=0.9, n=8, sz=20, rep=7, reg=ave.
Submitting job, psi=0.0, n=20, sz=20, rep=7, reg=ave.
Submitting job, psi=0.5, n=20, sz=20, rep=7, reg=ave.
Submitting job, psi=0.9, n=20, sz=20, rep=7, reg=ave.
Submitting job, psi=0.0, n=2, sz=40, rep=7, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=7, reg=ave.
Submitting job, psi=0.9, n=2, sz=40, rep=7, reg=ave.
Submitting job, psi=0.0, n=5, sz=40, rep=7, reg=ave.
Submitting job, psi=0.5, n=5, sz=40, rep=7, reg=ave.
Submitting job, psi=0.9, n=5, sz=40, rep=7, reg=ave.
Submitting job, psi=0.0, n=8, sz=40, rep=7, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=7, reg=ave.
Submitting job, psi=0.9, n=8, sz=40, rep=7, reg=ave.
Submitting job, psi=0.0, n=20, sz=40, rep=7, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=7, reg=ave.
Submitting job, psi=0.9, n=20, sz=40, rep=7, reg=ave.
Submitting job, psi=0.0, n=2, sz=60, rep=7, reg=ave.
Submitting job, psi=0.5, n=2, sz=60, rep=7, reg=ave.
Submitting job, psi=0.9, n=2, sz=60, rep=7, reg=ave.
Submitting job, psi=0.0, n=5, sz=60, rep=7, reg=ave.
Submitting job, psi=0.5, n=5, sz=60, rep=7, reg=ave.
Submitting job, psi=0.9, n=5, sz=60, rep=7, reg=ave.
Submitting job, psi=0.0, n=8, sz=60, rep=7, reg=ave.
Submitting job, psi=0.5, n=8, sz=60, rep=7, reg=ave.
Submitting job, psi=0.9, n=8, sz=60, rep=7, reg=ave.
Submitting job, psi=0.0, n=20, sz=60, rep=7, reg=ave.
Submitting job, psi=0.5, n=20, sz=60, rep=7, reg=ave.
Submitting job, psi=0.9, n=20, sz=60, rep=7, reg=ave.
Submitting job, psi=0.0, n=2, sz=20, rep=8, reg=ave.
Submitting job, psi=0.5, n=2, sz=20, rep=8, reg=ave.
Submitting job, psi=0.9, n=2, sz=20, rep=8, reg=ave.
Submitting job, psi=0.0, n=5, sz=20, rep=8, reg=ave.
Submitting job, psi=0.5, n=5, sz=20, rep=8, reg=ave.
Submitting job, psi=0.9, n=5, sz=20, rep=8, reg=ave.
Submitting job, psi=0.0, n=8, sz=20, rep=8, reg=ave.
Submitting job, psi=0.5, n=8, sz=20, rep=8, reg=ave.
Submitting job, psi=0.9, n=8, sz=20, rep=8, reg=ave.
Submitting job, psi=0.0, n=20, sz=20, rep=8, reg=ave.
Submitting job, psi=0.5, n=20, sz=20, rep=8, reg=ave.
Submitting job, psi=0.9, n=20, sz=20, rep=8, reg=ave.
Submitting job, psi=0.0, n=2, sz=40, rep=8, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=8, reg=ave.
Submitting job, psi=0.9, n=2, sz=40, rep=8, reg=ave.
Submitting job, psi=0.0, n=5, sz=40, rep=8, reg=ave.
Submitting job, psi=0.5, n=5, sz=40, rep=8, reg=ave.
Submitting job, psi=0.9, n=5, sz=40, rep=8, reg=ave.
Submitting job, psi=0.0, n=8, sz=40, rep=8, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=8, reg=ave.
Submitting job, psi=0.9, n=8, sz=40, rep=8, reg=ave.
Submitting job, psi=0.0, n=20, sz=40, rep=8, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=8, reg=ave.
Submitting job, psi=0.9, n=20, sz=40, rep=8, reg=ave.
Submitting job, psi=0.0, n=2, sz=60, rep=8, reg=ave.
Submitting job, psi=0.5, n=2, sz=60, rep=8, reg=ave.
Submitting job, psi=0.9, n=2, sz=60, rep=8, reg=ave.
Submitting job, psi=0.0, n=5, sz=60, rep=8, reg=ave.
Submitting job, psi=0.5, n=5, sz=60, rep=8, reg=ave.
Submitting job, psi=0.9, n=5, sz=60, rep=8, reg=ave.
Submitting job, psi=0.0, n=8, sz=60, rep=8, reg=ave.
Submitting job, psi=0.5, n=8, sz=60, rep=8, reg=ave.
Submitting job, psi=0.9, n=8, sz=60, rep=8, reg=ave.
Submitting job, psi=0.0, n=20, sz=60, rep=8, reg=ave.
Submitting job, psi=0.5, n=20, sz=60, rep=8, reg=ave.
Submitting job, psi=0.9, n=20, sz=60, rep=8, reg=ave.
Submitting job, psi=0.0, n=2, sz=20, rep=9, reg=ave.
Submitting job, psi=0.5, n=2, sz=20, rep=9, reg=ave.
Submitting job, psi=0.9, n=2, sz=20, rep=9, reg=ave.
Submitting job, psi=0.0, n=5, sz=20, rep=9, reg=ave.
Submitting job, psi=0.5, n=5, sz=20, rep=9, reg=ave.
Submitting job, psi=0.9, n=5, sz=20, rep=9, reg=ave.
Submitting job, psi=0.0, n=8, sz=20, rep=9, reg=ave.
Submitting job, psi=0.5, n=8, sz=20, rep=9, reg=ave.
Submitting job, psi=0.9, n=8, sz=20, rep=9, reg=ave.
Submitting job, psi=0.0, n=20, sz=20, rep=9, reg=ave.
Submitting job, psi=0.5, n=20, sz=20, rep=9, reg=ave.
Submitting job, psi=0.9, n=20, sz=20, rep=9, reg=ave.
Submitting job, psi=0.0, n=2, sz=40, rep=9, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=9, reg=ave.
Submitting job, psi=0.9, n=2, sz=40, rep=9, reg=ave.
Submitting job, psi=0.0, n=5, sz=40, rep=9, reg=ave.
Submitting job, psi=0.5, n=5, sz=40, rep=9, reg=ave.
Submitting job, psi=0.9, n=5, sz=40, rep=9, reg=ave.
Submitting job, psi=0.0, n=8, sz=40, rep=9, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=9, reg=ave.
Submitting job, psi=0.9, n=8, sz=40, rep=9, reg=ave.
Submitting job, psi=0.0, n=20, sz=40, rep=9, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=9, reg=ave.
Submitting job, psi=0.9, n=20, sz=40, rep=9, reg=ave.
Submitting job, psi=0.0, n=2, sz=60, rep=9, reg=ave.
Submitting job, psi=0.5, n=2, sz=60, rep=9, reg=ave.
Submitting job, psi=0.9, n=2, sz=60, rep=9, reg=ave.
Submitting job, psi=0.0, n=5, sz=60, rep=9, reg=ave.
Submitting job, psi=0.5, n=5, sz=60, rep=9, reg=ave.
Submitting job, psi=0.9, n=5, sz=60, rep=9, reg=ave.
Submitting job, psi=0.0, n=8, sz=60, rep=9, reg=ave.
Submitting job, psi=0.5, n=8, sz=60, rep=9, reg=ave.
Submitting job, psi=0.9, n=8, sz=60, rep=9, reg=ave.
Submitting job, psi=0.0, n=20, sz=60, rep=9, reg=ave.
Submitting job, psi=0.5, n=20, sz=60, rep=9, reg=ave.
Submitting job, psi=0.9, n=20, sz=60, rep=9, reg=ave.
Submitting job, psi=0.0, n=2, sz=20, rep=10, reg=ave.
Submitting job, psi=0.5, n=2, sz=20, rep=10, reg=ave.
Submitting job, psi=0.9, n=2, sz=20, rep=10, reg=ave.
Submitting job, psi=0.0, n=5, sz=20, rep=10, reg=ave.
Submitting job, psi=0.5, n=5, sz=20, rep=10, reg=ave.
Submitting job, psi=0.9, n=5, sz=20, rep=10, reg=ave.
Submitting job, psi=0.0, n=8, sz=20, rep=10, reg=ave.
Submitting job, psi=0.5, n=8, sz=20, rep=10, reg=ave.
Submitting job, psi=0.9, n=8, sz=20, rep=10, reg=ave.
Submitting job, psi=0.0, n=20, sz=20, rep=10, reg=ave.
Submitting job, psi=0.5, n=20, sz=20, rep=10, reg=ave.
Submitting job, psi=0.9, n=20, sz=20, rep=10, reg=ave.
Submitting job, psi=0.0, n=2, sz=40, rep=10, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=10, reg=ave.
Submitting job, psi=0.9, n=2, sz=40, rep=10, reg=ave.
Submitting job, psi=0.0, n=5, sz=40, rep=10, reg=ave.
Submitting job, psi=0.5, n=5, sz=40, rep=10, reg=ave.
Submitting job, psi=0.9, n=5, sz=40, rep=10, reg=ave.
Submitting job, psi=0.0, n=8, sz=40, rep=10, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=10, reg=ave.
Submitting job, psi=0.9, n=8, sz=40, rep=10, reg=ave.
Submitting job, psi=0.0, n=20, sz=40, rep=10, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=10, reg=ave.
Submitting job, psi=0.9, n=20, sz=40, rep=10, reg=ave.
Submitting job, psi=0.0, n=2, sz=60, rep=10, reg=ave.
Submitting job, psi=0.5, n=2, sz=60, rep=10, reg=ave.
Submitting job, psi=0.9, n=2, sz=60, rep=10, reg=ave.
Submitting job, psi=0.0, n=5, sz=60, rep=10, reg=ave.
Submitting job, psi=0.5, n=5, sz=60, rep=10, reg=ave.
Submitting job, psi=0.9, n=5, sz=60, rep=10, reg=ave.
Submitting job, psi=0.0, n=8, sz=60, rep=10, reg=ave.
Submitting job, psi=0.5, n=8, sz=60, rep=10, reg=ave.
Submitting job, psi=0.9, n=8, sz=60, rep=10, reg=ave.
Submitting job, psi=0.0, n=20, sz=60, rep=10, reg=ave.
Submitting job, psi=0.5, n=20, sz=60, rep=10, reg=ave.
Submitting job, psi=0.9, n=20, sz=60, rep=10, reg=ave.
