Submitting job for beta=0.05, n=8, sz=40, rep=9.
Submitting job for beta=0.05, n=8, sz=40, rep=10.
Submitting job for beta=0.5, n=8, sz=40, rep=1.
Submitting job for beta=0.5, n=8, sz=40, rep=2.
Submitting job for beta=0.5, n=8, sz=40, rep=3.
Submitting job for beta=0.5, n=8, sz=40, rep=4.
Submitting job for beta=0.5, n=8, sz=40, rep=5.
Submitting job for beta=0.5, n=8, sz=40, rep=6.
Submitting job for beta=0.5, n=8, sz=40, rep=7.
Submitting job for beta=0.5, n=8, sz=40, rep=8.
Submitting job for beta=0.5, n=8, sz=40, rep=9.
Submitting job for beta=0.5, n=8, sz=40, rep=10.
Submitting job for beta=1.0, n=8, sz=40, rep=1.
Submitting job for beta=1.0, n=8, sz=40, rep=2.
Submitting job for beta=1.0, n=8, sz=40, rep=3.
Submitting job for beta=1.0, n=8, sz=40, rep=4.
Submitting job for beta=1.0, n=8, sz=40, rep=5.
Submitting job for beta=1.0, n=8, sz=40, rep=6.
Submitting job for beta=1.0, n=8, sz=40, rep=7.
Submitting job for beta=1.0, n=8, sz=40, rep=8.
Submitting job for beta=1.0, n=8, sz=40, rep=9.
Submitting job for beta=1.0, n=8, sz=40, rep=10.
Submitting job for beta=0.0, n=20, sz=40, rep=1.
Submitting job for beta=0.0, n=20, sz=40, rep=2.
Submitting job for beta=0.0, n=20, sz=40, rep=3.
Submitting job for beta=0.0, n=20, sz=40, rep=4.
Submitting job for beta=0.0, n=20, sz=40, rep=5.
Submitting job for beta=0.0, n=20, sz=40, rep=6.
Submitting job for beta=0.0, n=20, sz=40, rep=7.
Submitting job for beta=0.0, n=20, sz=40, rep=8.
Submitting job for beta=0.0, n=20, sz=40, rep=9.
Submitting job for beta=0.0, n=20, sz=40, rep=10.
Submitting job for beta=0.05, n=20, sz=40, rep=1.
Submitting job for beta=0.05, n=20, sz=40, rep=2.
Submitting job for beta=0.05, n=20, sz=40, rep=3.
Submitting job for beta=0.05, n=20, sz=40, rep=4.
Submitting job for beta=0.05, n=20, sz=40, rep=5.
Submitting job for beta=0.05, n=20, sz=40, rep=6.
Submitting job for beta=0.05, n=20, sz=40, rep=7.
Submitting job for beta=0.05, n=20, sz=40, rep=8.
Submitting job for beta=0.05, n=20, sz=40, rep=9.
Submitting job for beta=0.05, n=20, sz=40, rep=10.
Submitting job for beta=0.5, n=20, sz=40, rep=1.
Submitting job for beta=0.5, n=20, sz=40, rep=2.
Submitting job for beta=0.5, n=20, sz=40, rep=3.
Submitting job for beta=0.5, n=20, sz=40, rep=4.
Submitting job for beta=0.5, n=20, sz=40, rep=5.
Submitting job for beta=0.5, n=20, sz=40, rep=6.
Submitting job for beta=0.5, n=20, sz=40, rep=7.
Submitting job for beta=0.5, n=20, sz=40, rep=8.
Submitting job for beta=0.5, n=20, sz=40, rep=9.
Submitting job for beta=0.5, n=20, sz=40, rep=10.
Submitting job for beta=1.0, n=20, sz=40, rep=1.
Submitting job for beta=1.0, n=20, sz=40, rep=2.
Submitting job for beta=1.0, n=20, sz=40, rep=3.
Submitting job for beta=1.0, n=20, sz=40, rep=4.
Submitting job for beta=1.0, n=20, sz=40, rep=5.
Submitting job for beta=1.0, n=20, sz=40, rep=6.
Submitting job for beta=1.0, n=20, sz=40, rep=7.
Submitting job for beta=1.0, n=20, sz=40, rep=8.
Submitting job for beta=1.0, n=20, sz=40, rep=9.
Submitting job for beta=1.0, n=20, sz=40, rep=10.
Submitting job for beta=0.0, n=50, sz=40, rep=1.
Submitting job for beta=0.0, n=50, sz=40, rep=2.
Submitting job for beta=0.0, n=50, sz=40, rep=3.
Submitting job for beta=0.0, n=50, sz=40, rep=4.
Submitting job for beta=0.0, n=50, sz=40, rep=5.
Submitting job for beta=0.0, n=50, sz=40, rep=6.
Submitting job for beta=0.0, n=50, sz=40, rep=7.
Submitting job for beta=0.0, n=50, sz=40, rep=8.
Submitting job for beta=0.0, n=50, sz=40, rep=9.
Submitting job for beta=0.0, n=50, sz=40, rep=10.
Submitting job for beta=0.05, n=50, sz=40, rep=1.
Submitting job for beta=0.05, n=50, sz=40, rep=2.
Submitting job for beta=0.05, n=50, sz=40, rep=3.
Submitting job for beta=0.05, n=50, sz=40, rep=4.
Submitting job for beta=0.05, n=50, sz=40, rep=5.
Submitting job for beta=0.05, n=50, sz=40, rep=6.
Submitting job for beta=0.05, n=50, sz=40, rep=7.
Submitting job for beta=0.05, n=50, sz=40, rep=8.
Submitting job for beta=0.05, n=50, sz=40, rep=9.
Submitting job for beta=0.05, n=50, sz=40, rep=10.
Submitting job for beta=0.5, n=50, sz=40, rep=1.
Submitting job for beta=0.5, n=50, sz=40, rep=2.
Submitting job for beta=0.5, n=50, sz=40, rep=3.
Submitting job for beta=0.5, n=50, sz=40, rep=4.
Submitting job for beta=0.5, n=50, sz=40, rep=5.
Submitting job for beta=0.5, n=50, sz=40, rep=6.
Submitting job for beta=0.5, n=50, sz=40, rep=7.
Submitting job for beta=0.5, n=50, sz=40, rep=8.
Submitting job for beta=0.5, n=50, sz=40, rep=9.
Submitting job for beta=0.5, n=50, sz=40, rep=10.
Submitting job for beta=1.0, n=50, sz=40, rep=1.
Submitting job for beta=1.0, n=50, sz=40, rep=2.
Submitting job for beta=1.0, n=50, sz=40, rep=3.
Submitting job for beta=1.0, n=50, sz=40, rep=4.
Submitting job for beta=1.0, n=50, sz=40, rep=5.
Submitting job for beta=1.0, n=50, sz=40, rep=6.
Submitting job for beta=1.0, n=50, sz=40, rep=7.
Submitting job for beta=1.0, n=50, sz=40, rep=8.
Submitting job for beta=1.0, n=50, sz=40, rep=9.
Submitting job for beta=1.0, n=50, sz=40, rep=10.
Submitting job for beta=0.0, n=2, sz=80, rep=1.
Submitting job for beta=0.0, n=2, sz=80, rep=2.
Submitting job for beta=0.0, n=2, sz=80, rep=3.
Submitting job for beta=0.0, n=2, sz=80, rep=4.
Submitting job for beta=0.0, n=2, sz=80, rep=5.
Submitting job for beta=0.0, n=2, sz=80, rep=6.
Submitting job for beta=0.0, n=2, sz=80, rep=7.
Submitting job for beta=0.0, n=2, sz=80, rep=8.
Submitting job for beta=0.0, n=2, sz=80, rep=9.
Submitting job for beta=0.0, n=2, sz=80, rep=10.
Submitting job for beta=0.05, n=2, sz=80, rep=1.
Submitting job for beta=0.05, n=2, sz=80, rep=2.
Submitting job for beta=0.05, n=2, sz=80, rep=3.
Submitting job for beta=0.05, n=2, sz=80, rep=4.
Submitting job for beta=0.05, n=2, sz=80, rep=5.
Submitting job for beta=0.05, n=2, sz=80, rep=6.
Submitting job for beta=0.05, n=2, sz=80, rep=7.
Submitting job for beta=0.05, n=2, sz=80, rep=8.
Submitting job for beta=0.05, n=2, sz=80, rep=9.
Submitting job for beta=0.05, n=2, sz=80, rep=10.
Submitting job for beta=0.5, n=2, sz=80, rep=1.
Submitting job for beta=0.5, n=2, sz=80, rep=2.
Submitting job for beta=0.5, n=2, sz=80, rep=3.
Submitting job for beta=0.5, n=2, sz=80, rep=4.
Submitting job for beta=0.5, n=2, sz=80, rep=5.
Submitting job for beta=0.5, n=2, sz=80, rep=6.
Submitting job for beta=0.5, n=2, sz=80, rep=7.
Submitting job for beta=0.5, n=2, sz=80, rep=8.
Submitting job for beta=0.5, n=2, sz=80, rep=9.
Submitting job for beta=0.5, n=2, sz=80, rep=10.
Submitting job for beta=1.0, n=2, sz=80, rep=1.
Submitting job for beta=1.0, n=2, sz=80, rep=2.
Submitting job for beta=1.0, n=2, sz=80, rep=3.
Submitting job for beta=1.0, n=2, sz=80, rep=4.
Submitting job for beta=1.0, n=2, sz=80, rep=5.
Submitting job for beta=1.0, n=2, sz=80, rep=6.
Submitting job for beta=1.0, n=2, sz=80, rep=7.
Submitting job for beta=1.0, n=2, sz=80, rep=8.
Submitting job for beta=1.0, n=2, sz=80, rep=9.
Submitting job for beta=1.0, n=2, sz=80, rep=10.
Submitting job for beta=0.0, n=8, sz=80, rep=1.
Submitting job for beta=0.0, n=8, sz=80, rep=2.
Submitting job for beta=0.0, n=8, sz=80, rep=3.
Submitting job for beta=0.0, n=8, sz=80, rep=4.
Submitting job for beta=0.0, n=8, sz=80, rep=5.
Submitting job for beta=0.0, n=8, sz=80, rep=6.
Submitting job for beta=0.0, n=8, sz=80, rep=7.
Submitting job for beta=0.0, n=8, sz=80, rep=8.
Submitting job for beta=0.0, n=8, sz=80, rep=9.
Submitting job for beta=0.0, n=8, sz=80, rep=10.
Submitting job for beta=0.05, n=8, sz=80, rep=1.
Submitting job for beta=0.05, n=8, sz=80, rep=2.
Submitting job for beta=0.05, n=8, sz=80, rep=3.
Submitting job for beta=0.05, n=8, sz=80, rep=4.
Submitting job for beta=0.05, n=8, sz=80, rep=5.
Submitting job for beta=0.05, n=8, sz=80, rep=6.
Submitting job for beta=0.05, n=8, sz=80, rep=7.
Submitting job for beta=0.05, n=8, sz=80, rep=8.
Submitting job for beta=0.05, n=8, sz=80, rep=9.
Submitting job for beta=0.05, n=8, sz=80, rep=10.
Submitting job for beta=0.5, n=8, sz=80, rep=1.
Submitting job for beta=0.5, n=8, sz=80, rep=2.
Submitting job for beta=0.5, n=8, sz=80, rep=3.
Submitting job for beta=0.5, n=8, sz=80, rep=4.
Submitting job for beta=0.5, n=8, sz=80, rep=5.
Submitting job for beta=0.5, n=8, sz=80, rep=6.
Submitting job for beta=0.5, n=8, sz=80, rep=7.
Submitting job for beta=0.5, n=8, sz=80, rep=8.
Submitting job for beta=0.5, n=8, sz=80, rep=9.
Submitting job for beta=0.5, n=8, sz=80, rep=10.
Submitting job for beta=1.0, n=8, sz=80, rep=1.
Submitting job for beta=1.0, n=8, sz=80, rep=2.
Submitting job for beta=1.0, n=8, sz=80, rep=3.
Submitting job for beta=1.0, n=8, sz=80, rep=4.
Submitting job for beta=1.0, n=8, sz=80, rep=5.
Submitting job for beta=1.0, n=8, sz=80, rep=6.
Submitting job for beta=1.0, n=8, sz=80, rep=7.
Submitting job for beta=1.0, n=8, sz=80, rep=8.
Submitting job for beta=1.0, n=8, sz=80, rep=9.
Submitting job for beta=1.0, n=8, sz=80, rep=10.
Submitting job for beta=0.0, n=20, sz=80, rep=1.
Submitting job for beta=0.0, n=20, sz=80, rep=2.
Submitting job for beta=0.0, n=20, sz=80, rep=3.
Submitting job for beta=0.0, n=20, sz=80, rep=4.
Submitting job for beta=0.0, n=20, sz=80, rep=5.
Submitting job for beta=0.0, n=20, sz=80, rep=6.
Submitting job for beta=0.0, n=20, sz=80, rep=7.
Submitting job for beta=0.0, n=20, sz=80, rep=8.
Submitting job for beta=0.0, n=20, sz=80, rep=9.
Submitting job for beta=0.0, n=20, sz=80, rep=10.
Submitting job for beta=0.05, n=20, sz=80, rep=1.
Submitting job for beta=0.05, n=20, sz=80, rep=2.
Submitting job for beta=0.05, n=20, sz=80, rep=3.
Submitting job for beta=0.05, n=20, sz=80, rep=4.
Submitting job for beta=0.05, n=20, sz=80, rep=5.
Submitting job for beta=0.05, n=20, sz=80, rep=6.
Submitting job for beta=0.05, n=20, sz=80, rep=7.
Submitting job for beta=0.05, n=20, sz=80, rep=8.
Submitting job for beta=0.05, n=20, sz=80, rep=9.
Submitting job for beta=0.05, n=20, sz=80, rep=10.
Submitting job for beta=0.5, n=20, sz=80, rep=1.
Submitting job for beta=0.5, n=20, sz=80, rep=2.
Submitting job for beta=0.5, n=20, sz=80, rep=3.
Submitting job for beta=0.5, n=20, sz=80, rep=4.
Submitting job for beta=0.5, n=20, sz=80, rep=5.
Submitting job for beta=0.5, n=20, sz=80, rep=6.
Submitting job for beta=0.5, n=20, sz=80, rep=7.
Submitting job for beta=0.5, n=20, sz=80, rep=8.
Submitting job for beta=0.5, n=20, sz=80, rep=9.
Submitting job for beta=0.5, n=20, sz=80, rep=10.
Submitting job for beta=1.0, n=20, sz=80, rep=1.
Submitting job for beta=1.0, n=20, sz=80, rep=2.
Submitting job for beta=1.0, n=20, sz=80, rep=3.
Submitting job for beta=1.0, n=20, sz=80, rep=4.
Submitting job for beta=1.0, n=20, sz=80, rep=5.
Submitting job for beta=1.0, n=20, sz=80, rep=6.
Submitting job for beta=1.0, n=20, sz=80, rep=7.
Submitting job for beta=1.0, n=20, sz=80, rep=8.
Submitting job for beta=1.0, n=20, sz=80, rep=9.
Submitting job for beta=1.0, n=20, sz=80, rep=10.
Submitting job for beta=0.0, n=50, sz=80, rep=1.
Submitting job for beta=0.0, n=50, sz=80, rep=2.
Submitting job for beta=0.0, n=50, sz=80, rep=3.
Submitting job for beta=0.0, n=50, sz=80, rep=4.
Submitting job for beta=0.0, n=50, sz=80, rep=5.
Submitting job for beta=0.0, n=50, sz=80, rep=6.
Submitting job for beta=0.0, n=50, sz=80, rep=7.
Submitting job for beta=0.0, n=50, sz=80, rep=8.
Submitting job for beta=0.0, n=50, sz=80, rep=9.
Submitting job for beta=0.0, n=50, sz=80, rep=10.
Submitting job for beta=0.05, n=50, sz=80, rep=1.
Submitting job for beta=0.05, n=50, sz=80, rep=2.
Submitting job for beta=0.05, n=50, sz=80, rep=3.
Submitting job for beta=0.05, n=50, sz=80, rep=4.
Submitting job for beta=0.05, n=50, sz=80, rep=5.
Submitting job for beta=0.05, n=50, sz=80, rep=6.
Submitting job for beta=0.05, n=50, sz=80, rep=7.
Submitting job for beta=0.05, n=50, sz=80, rep=8.
Submitting job for beta=0.05, n=50, sz=80, rep=9.
Submitting job for beta=0.05, n=50, sz=80, rep=10.
Submitting job for beta=0.5, n=50, sz=80, rep=1.
Submitting job for beta=0.5, n=50, sz=80, rep=2.
Submitting job for beta=0.5, n=50, sz=80, rep=3.
Submitting job for beta=0.5, n=50, sz=80, rep=4.
Submitting job for beta=0.5, n=50, sz=80, rep=5.
Submitting job for beta=0.5, n=50, sz=80, rep=6.
Submitting job for beta=0.5, n=50, sz=80, rep=7.
Submitting job for beta=0.5, n=50, sz=80, rep=8.
Submitting job for beta=0.5, n=50, sz=80, rep=9.
Submitting job for beta=0.5, n=50, sz=80, rep=10.
Submitting job for beta=1.0, n=50, sz=80, rep=1.
Submitting job for beta=1.0, n=50, sz=80, rep=2.
Submitting job for beta=1.0, n=50, sz=80, rep=3.
Submitting job for beta=1.0, n=50, sz=80, rep=4.
Submitting job for beta=1.0, n=50, sz=80, rep=5.
Submitting job for beta=1.0, n=50, sz=80, rep=6.
Submitting job for beta=1.0, n=50, sz=80, rep=7.
Submitting job for beta=1.0, n=50, sz=80, rep=8.
Submitting job for beta=1.0, n=50, sz=80, rep=9.
Submitting job for beta=1.0, n=50, sz=80, rep=10.
Submitting job for beta=0.0, n=2, sz=120, rep=1.
Submitting job for beta=0.0, n=2, sz=120, rep=2.
Submitting job for beta=0.0, n=2, sz=120, rep=3.
Submitting job for beta=0.0, n=2, sz=120, rep=4.
Submitting job for beta=0.0, n=2, sz=120, rep=5.
Submitting job for beta=0.0, n=2, sz=120, rep=6.
Submitting job for beta=0.0, n=2, sz=120, rep=7.
Submitting job for beta=0.0, n=2, sz=120, rep=8.
Submitting job for beta=0.0, n=2, sz=120, rep=9.
Submitting job for beta=0.0, n=2, sz=120, rep=10.
Submitting job for beta=0.05, n=2, sz=120, rep=1.
Submitting job for beta=0.05, n=2, sz=120, rep=2.
Submitting job for beta=0.05, n=2, sz=120, rep=3.
Submitting job for beta=0.05, n=2, sz=120, rep=4.
Submitting job for beta=0.05, n=2, sz=120, rep=5.
Submitting job for beta=0.05, n=2, sz=120, rep=6.
Submitting job for beta=0.05, n=2, sz=120, rep=7.
Submitting job for beta=0.05, n=2, sz=120, rep=8.
Submitting job for beta=0.05, n=2, sz=120, rep=9.
Submitting job for beta=0.05, n=2, sz=120, rep=10.
Submitting job for beta=0.5, n=2, sz=120, rep=1.
Submitting job for beta=0.5, n=2, sz=120, rep=2.
Submitting job for beta=0.5, n=2, sz=120, rep=3.
Submitting job for beta=0.5, n=2, sz=120, rep=4.
Submitting job for beta=0.5, n=2, sz=120, rep=5.
Submitting job for beta=0.5, n=2, sz=120, rep=6.
Submitting job for beta=0.5, n=2, sz=120, rep=7.
Submitting job for beta=0.5, n=2, sz=120, rep=8.
Submitting job for beta=0.5, n=2, sz=120, rep=9.
Submitting job for beta=0.5, n=2, sz=120, rep=10.
Submitting job for beta=1.0, n=2, sz=120, rep=1.
Submitting job for beta=1.0, n=2, sz=120, rep=2.
Submitting job for beta=1.0, n=2, sz=120, rep=3.
Submitting job for beta=1.0, n=2, sz=120, rep=4.
Submitting job for beta=1.0, n=2, sz=120, rep=5.
Submitting job for beta=1.0, n=2, sz=120, rep=6.
Submitting job for beta=1.0, n=2, sz=120, rep=7.
Submitting job for beta=1.0, n=2, sz=120, rep=8.
Submitting job for beta=1.0, n=2, sz=120, rep=9.
Submitting job for beta=1.0, n=2, sz=120, rep=10.
Submitting job for beta=0.0, n=8, sz=120, rep=1.
Submitting job for beta=0.0, n=8, sz=120, rep=2.
Submitting job for beta=0.0, n=8, sz=120, rep=3.
Submitting job for beta=0.0, n=8, sz=120, rep=4.
Submitting job for beta=0.0, n=8, sz=120, rep=5.
Submitting job for beta=0.0, n=8, sz=120, rep=6.
Submitting job for beta=0.0, n=8, sz=120, rep=7.
Submitting job for beta=0.0, n=8, sz=120, rep=8.
Submitting job for beta=0.0, n=8, sz=120, rep=9.
Submitting job for beta=0.0, n=8, sz=120, rep=10.
Submitting job for beta=0.05, n=8, sz=120, rep=1.
Submitting job for beta=0.05, n=8, sz=120, rep=2.
Submitting job for beta=0.05, n=8, sz=120, rep=3.
Submitting job for beta=0.05, n=8, sz=120, rep=4.
Submitting job for beta=0.05, n=8, sz=120, rep=5.
Submitting job for beta=0.05, n=8, sz=120, rep=6.
Submitting job for beta=0.05, n=8, sz=120, rep=7.
Submitting job for beta=0.05, n=8, sz=120, rep=8.
Submitting job for beta=0.05, n=8, sz=120, rep=9.
Submitting job for beta=0.05, n=8, sz=120, rep=10.
Submitting job for beta=0.5, n=8, sz=120, rep=1.
Submitting job for beta=0.5, n=8, sz=120, rep=2.
Submitting job for beta=0.5, n=8, sz=120, rep=3.
Submitting job for beta=0.5, n=8, sz=120, rep=4.
Submitting job for beta=0.5, n=8, sz=120, rep=5.
Submitting job for beta=0.5, n=8, sz=120, rep=6.
Submitting job for beta=0.5, n=8, sz=120, rep=7.
Submitting job for beta=0.5, n=8, sz=120, rep=8.
Submitting job for beta=0.5, n=8, sz=120, rep=9.
Submitting job for beta=0.5, n=8, sz=120, rep=10.
Submitting job for beta=1.0, n=8, sz=120, rep=1.
Submitting job for beta=1.0, n=8, sz=120, rep=2.
Submitting job for beta=1.0, n=8, sz=120, rep=3.
Submitting job for beta=1.0, n=8, sz=120, rep=4.
Submitting job for beta=1.0, n=8, sz=120, rep=5.
Submitting job for beta=1.0, n=8, sz=120, rep=6.
Submitting job for beta=1.0, n=8, sz=120, rep=7.
Submitting job for beta=1.0, n=8, sz=120, rep=8.
Submitting job for beta=1.0, n=8, sz=120, rep=9.
Submitting job for beta=1.0, n=8, sz=120, rep=10.
Submitting job for beta=0.0, n=20, sz=120, rep=1.
Submitting job for beta=0.0, n=20, sz=120, rep=2.
Submitting job for beta=0.0, n=20, sz=120, rep=3.
Submitting job for beta=0.0, n=20, sz=120, rep=4.
Submitting job for beta=0.0, n=20, sz=120, rep=5.
Submitting job for beta=0.0, n=20, sz=120, rep=6.
Submitting job for beta=0.0, n=20, sz=120, rep=7.
Submitting job for beta=0.0, n=20, sz=120, rep=8.
Submitting job for beta=0.0, n=20, sz=120, rep=9.
Submitting job for beta=0.0, n=20, sz=120, rep=10.
Submitting job for beta=0.05, n=20, sz=120, rep=1.
Submitting job for beta=0.05, n=20, sz=120, rep=2.
Submitting job for beta=0.05, n=20, sz=120, rep=3.
Submitting job for beta=0.05, n=20, sz=120, rep=4.
Submitting job for beta=0.05, n=20, sz=120, rep=5.
Submitting job for beta=0.05, n=20, sz=120, rep=6.
Submitting job for beta=0.05, n=20, sz=120, rep=7.
Submitting job for beta=0.05, n=20, sz=120, rep=8.
Submitting job for beta=0.05, n=20, sz=120, rep=9.
Submitting job for beta=0.05, n=20, sz=120, rep=10.
Submitting job for beta=0.5, n=20, sz=120, rep=1.
Submitting job for beta=0.5, n=20, sz=120, rep=2.
Submitting job for beta=0.5, n=20, sz=120, rep=3.
Submitting job for beta=0.5, n=20, sz=120, rep=4.
Submitting job for beta=0.5, n=20, sz=120, rep=5.
Submitting job for beta=0.5, n=20, sz=120, rep=6.
Submitting job for beta=0.5, n=20, sz=120, rep=7.
Submitting job for beta=0.5, n=20, sz=120, rep=8.
Submitting job for beta=0.5, n=20, sz=120, rep=9.
Submitting job for beta=0.5, n=20, sz=120, rep=10.
Submitting job for beta=1.0, n=20, sz=120, rep=1.
Submitting job for beta=1.0, n=20, sz=120, rep=2.
Submitting job for beta=1.0, n=20, sz=120, rep=3.
Submitting job for beta=1.0, n=20, sz=120, rep=4.
Submitting job for beta=1.0, n=20, sz=120, rep=5.
Submitting job for beta=1.0, n=20, sz=120, rep=6.
Submitting job for beta=1.0, n=20, sz=120, rep=7.
Submitting job for beta=1.0, n=20, sz=120, rep=8.
Submitting job for beta=1.0, n=20, sz=120, rep=9.
Submitting job for beta=1.0, n=20, sz=120, rep=10.
Submitting job for beta=0.0, n=50, sz=120, rep=1.
Submitting job for beta=0.0, n=50, sz=120, rep=2.
Submitting job for beta=0.0, n=50, sz=120, rep=3.
Submitting job for beta=0.0, n=50, sz=120, rep=4.
Submitting job for beta=0.0, n=50, sz=120, rep=5.
Submitting job for beta=0.0, n=50, sz=120, rep=6.
Submitting job for beta=0.0, n=50, sz=120, rep=7.
Submitting job for beta=0.0, n=50, sz=120, rep=8.
Submitting job for beta=0.0, n=50, sz=120, rep=9.
Submitting job for beta=0.0, n=50, sz=120, rep=10.
Submitting job for beta=0.05, n=50, sz=120, rep=1.
Submitting job for beta=0.05, n=50, sz=120, rep=2.
Submitting job for beta=0.05, n=50, sz=120, rep=3.
Submitting job for beta=0.05, n=50, sz=120, rep=4.
Submitting job for beta=0.05, n=50, sz=120, rep=5.
Submitting job for beta=0.05, n=50, sz=120, rep=6.
Submitting job for beta=0.05, n=50, sz=120, rep=7.
Submitting job for beta=0.05, n=50, sz=120, rep=8.
Submitting job for beta=0.05, n=50, sz=120, rep=9.
Submitting job for beta=0.05, n=50, sz=120, rep=10.
Submitting job for beta=0.5, n=50, sz=120, rep=1.
Submitting job for beta=0.5, n=50, sz=120, rep=2.
Submitting job for beta=0.5, n=50, sz=120, rep=3.
Submitting job for beta=0.5, n=50, sz=120, rep=4.
Submitting job for beta=0.5, n=50, sz=120, rep=5.
Submitting job for beta=0.5, n=50, sz=120, rep=6.
Submitting job for beta=0.5, n=50, sz=120, rep=7.
Submitting job for beta=0.5, n=50, sz=120, rep=8.
Submitting job for beta=0.5, n=50, sz=120, rep=9.
Submitting job for beta=0.5, n=50, sz=120, rep=10.
Submitting job for beta=1.0, n=50, sz=120, rep=1.
Submitting job for beta=1.0, n=50, sz=120, rep=2.
Submitting job for beta=1.0, n=50, sz=120, rep=3.
Submitting job for beta=1.0, n=50, sz=120, rep=4.
Submitting job for beta=1.0, n=50, sz=120, rep=5.
Submitting job for beta=1.0, n=50, sz=120, rep=6.
Submitting job for beta=1.0, n=50, sz=120, rep=7.
Submitting job for beta=1.0, n=50, sz=120, rep=8.
Submitting job for beta=1.0, n=50, sz=120, rep=9.
Submitting job for beta=1.0, n=50, sz=120, rep=10.
Submitting job for beta=0.0, n=2, sz=300, rep=1.
Submitting job for beta=0.0, n=2, sz=300, rep=2.
Submitting job for beta=0.0, n=2, sz=300, rep=3.
Submitting job for beta=0.0, n=2, sz=300, rep=4.
Submitting job for beta=0.0, n=2, sz=300, rep=5.
Submitting job for beta=0.0, n=2, sz=300, rep=6.
Submitting job for beta=0.0, n=2, sz=300, rep=7.
Submitting job for beta=0.0, n=2, sz=300, rep=8.
Submitting job for beta=0.0, n=2, sz=300, rep=9.
Submitting job for beta=0.0, n=2, sz=300, rep=10.
Submitting job for beta=0.05, n=2, sz=300, rep=1.
Submitting job for beta=0.05, n=2, sz=300, rep=2.
Submitting job for beta=0.05, n=2, sz=300, rep=3.
Submitting job for beta=0.05, n=2, sz=300, rep=4.
Submitting job for beta=0.05, n=2, sz=300, rep=5.
Submitting job for beta=0.05, n=2, sz=300, rep=6.
Submitting job for beta=0.05, n=2, sz=300, rep=7.
Submitting job for beta=0.05, n=2, sz=300, rep=8.
Submitting job for beta=0.05, n=2, sz=300, rep=9.
